냉동,냉동 농산물,식물성,"덩굴월귤(열매,냉동)",A0500400900000024700
냉동,냉동 농산물,식물성,"나무딸기(열매,냉동)",A0500401000000024700
냉동,냉동 농산물,식물성,"빌베리(열매,냉동)",A0500401100000024700
냉동,냉동 농산물,식물성,"머루(열매,냉동)",A0500401400000024700
냉동,냉동 농산물,식물성,"복분자(열매,냉동)",A0500401500000024700
냉동,냉동 농산물,식물성,"캘리포니아 블랙베리(열매,냉동)",A0500401500001024700
냉동,냉동 농산물,식물성,"산딸기(열매,냉동)",A0500401600000024700
냉동,냉동 농산물,식물성,"다래(열매,냉동)",A0500401900000024700
냉동,냉동 농산물,식물성,"보이즌베리(열매,냉동)",A05004ZZN00001024700
냉동,냉동 농산물,식물성,"개들쭉나무(열매,냉동)",A05004ZZS00000024700
냉동,냉동 농산물,식물성,"양까막까치밥나무(열매,냉동)",A05004ZZV00000024700
냉동,냉동 농산물,식물성,"엘더(열매,냉동)",A05004ZZX00000024700
냉동,냉동 농산물,식물성,"블랙베리(열매,냉동)",A05004ZZY00000024700
냉동,냉동 농산물,식물성,"블랙베리(잎,냉동)",A05004ZZY00000024900
냉동,냉동 농산물,식물성,"레드커런트(열매,냉동)",A05004ZZZ00000024700
냉동,냉동 농산물,식물성,"바나나(열매,냉동)",A0500500100000024700
냉동,냉동 농산물,식물성,"파인애플(열매,냉동)",A0500500200000024700
냉동,냉동 농산물,식물성,"키위(씨앗,냉동)",A0500500300000023600
냉동,냉동 농산물,식물성,"키위(열매,냉동)",A0500500300000024700
냉동,냉동 농산물,식물성,"아보카도(열매,냉동)",A0500500400000024700
냉동,냉동 농산물,식물성,"파파야(열매,냉동)",A0500500500000024700
냉동,냉동 농산물,식물성,"대추야자(열매,냉동)",A0500500600000024700
냉동,냉동 농산물,식물성,"망고(열매,냉동)",A0500500700000024700
냉동,냉동 농산물,식물성,"구아바(열매,냉동)",A0500500800000024700
냉동,냉동 농산물,식물성,"코코넛(열매,냉동)",A0500500900000024700
냉동,냉동 농산물,식물성,"리치(열매,냉동)",A0500501000000024700
냉동,냉동 농산물,식물성,"패션프루트(열매,냉동)",A0500501100000024700
냉동,냉동 농산물,식물성,"두리안(열매,냉동)",A0500501200000024700
냉동,냉동 농산물,식물성,"망고스틴(열매,냉동)",A0500501300000024700
냉동,냉동 농산물,식물성,"람부탄(열매,냉동)",A0500501700000024700
냉동,냉동 농산물,식물성,"아세로라(열매,냉동)",A0500502300000024700
냉동,냉동 농산물,식물성,"가시여지(열매,냉동)",A0500502500000024700
냉동,냉동 농산물,식물성,"피타야(열매,냉동)",A0500502700000024700
냉동,냉동 농산물,식물성,"바라밀(열매,냉동)",A0500502800000024700
냉동,냉동 농산물,식물성,"스타후르츠(열매,냉동)",A05005ZZP00000024700
냉동,냉동 농산물,식물성,"부아메라(열매,냉동)",A05005ZZR00000024700
냉동,냉동 농산물,식물성,슈가애플(냉동),A05005ZZT00000024700
냉동,냉동 농산물,식물성,"아테모야(열매,냉동)",A05005ZZU00000024700
냉동,냉동 농산물,식물성,"커스터드애플(열매,냉동)",A05005ZZV00000024700
냉동,냉동 농산물,식물성,"스타애플(열매,냉동)",A05005ZZW00000024700
냉동,냉동 농산물,식물성,"치클(열매,냉동)",A05005ZZX00000024700
냉동,냉동 농산물,식물성,"노니(열매,냉동)",A05005ZZY00000024700
냉동,냉동 농산물,식물성,"용안/용안육(헛씨껍질(가종피),냉동)",A05005ZZZ00000026200
냉동,냉동 농산물,식물성,"배추(잎,냉동)",A0600100100000024900
냉동,냉동 농산물,식물성,"양배추(잎,냉동)",A0600100200000024900
냉동,냉동 농산물,식물성,브로콜리(냉동),A0600100300000020000
냉동,냉동 농산물,식물성,"방울양배추(잎,냉동)",A06001ZZY00000024900
냉동,냉동 농산물,식물성,"자주양배추/콜리플라워(꽃봉오리,냉동)",A06001ZZZ00000021300
냉동,냉동 농산물,식물성,"엇갈이배추(잎,냉동)",A0600200100000024900
냉동,냉동 농산물,식물성,"시금치(잎,줄기,냉동)",A0600200600000026400
냉동,냉동 농산물,식물성,"들깻잎(잎,냉동)",A0600200700000024900
냉동,냉동 농산물,식물성,"아욱(잎,냉동)",A0600200900000024900
냉동,냉동 농산물,식물성,"근대(잎,줄기,냉동)",A0600201000000026400
냉동,냉동 농산물,식물성,"케일(잎,냉동)",A0600201600000024900
냉동,냉동 농산물,식물성,"청경채(잎,냉동)",A0600201700000024900
냉동,냉동 농산물,식물성,"냉이(잎,냉동)",A0600201900000024900
냉동,냉동 농산물,식물성,"고추냉이(줄기,냉동)",A0600202500000025800
냉동,냉동 농산물,식물성,"쑥(잎,냉동)",A0600203300000024900
냉동,냉동 농산물,식물성,"모시풀(잎,냉동)",A0600204100000024900
냉동,냉동 농산물,식물성,"참취(잎,냉동)",A0600204400000024900
냉동,냉동 농산물,식물성,"약쑥(잎,냉동)",A0600205400000024900
냉동,냉동 농산물,식물성,"산마늘잎(잎,냉동)",A0600208600000024900
냉동,냉동 농산물,식물성,"고려엉겅퀴/곤드레(잎,냉동)",A0600209000000024900
냉동,냉동 농산물,식물성,"공심채(잎,줄기,냉동)",A0600209600000026400
냉동,냉동 농산물,식물성,"서양민들레(잎,냉동)",A06002ZZS00000024900
냉동,냉동 농산물,식물성,"당아욱(잎,냉동)",A06002ZZU00000024900
냉동,냉동 농산물,식물성,"유채(전초,냉동)",A06002ZZV00000025500
냉동,냉동 농산물,식물성,파(냉동),A0600300100000020000
냉동,냉동 농산물,식물성,"부추(잎,냉동)",A0600300200000024900
냉동,냉동 농산물,식물성,"고구마(줄기,냉동)",A0600300400000025800
냉동,냉동 농산물,식물성,"토란(줄기,냉동)",A0600300500000025800
냉동,냉동 농산물,식물성,고사리(냉동),A0600300600000020000
냉동,냉동 농산물,식물성,"아스파라거스(순,냉동)",A0600300700000023300
냉동,냉동 농산물,식물성,"셀러리(잎,냉동)",A0600300800000024900
냉동,냉동 농산물,식물성,"대나무(죽순,냉동)",A0600300900000025700
냉동,냉동 농산물,식물성,두릅(냉동),A0600301200000020000
냉동,냉동 농산물,식물성,"마늘종(꽃줄기,냉동)",A0600301600000021500
냉동,냉동 농산물,식물성,숙주나물(냉동),A0600302400000020000
냉동,냉동 농산물,식물성,"오가피(잎,냉동)",A0600302500000024900
냉동,냉동 농산물,식물성,"쇠비름(줄기,냉동)",A0600303800000025800
냉동,냉동 농산물,식물성,"루바브(잎,줄기,냉동)",A06003ZZQ00000026400
냉동,냉동 농산물,식물성,"참죽나무(순,냉동)",A06003ZZS00000023300
냉동,냉동 농산물,식물성,"참죽나무(잎,냉동)",A06003ZZS00000024900
냉동,냉동 농산물,식물성,"무(뿌리,냉동)",A0600400100000022300
냉동,냉동 농산물,식물성,양파(냉동),A0600400200000020000
냉동,냉동 농산물,식물성,"마늘(뿌리,냉동)",A0600400300000022300
냉동,냉동 농산물,식물성,"당근(뿌리,냉동)",A0600400400000022300
냉동,냉동 농산물,식물성,"생강(뿌리,냉동)",A0600400500000022300
냉동,냉동 농산물,식물성,"연근(뿌리,냉동)",A0600400600000022300
냉동,냉동 농산물,식물성,"우엉(뿌리,냉동)",A0600400700000022300
냉동,냉동 농산물,식물성,"도라지/길경(뿌리,냉동)",A0600400800000022300
냉동,냉동 농산물,식물성,"더덕(뿌리,냉동)",A0600400900000022300
냉동,냉동 농산물,식물성,"비트(뿌리,냉동)",A0600401000000022300
냉동,냉동 농산물,식물성,"고추냉이(뿌리,냉동)",A0600401400000022300
냉동,냉동 농산물,식물성,"작약(뿌리,냉동)",A0600402600000022300
냉동,냉동 농산물,식물성,"칡/갈근(뿌리,냉동)",A0600403200000022300
냉동,냉동 농산물,식물성,"고량강(뿌리줄기,냉동)",A0600405200000022500
냉동,냉동 농산물,식물성,"물방기(뿌리,냉동)",A0600405600000022300
냉동,냉동 농산물,식물성,"숙근초/셜롯(비늘줄기,냉동)",A06004ZZV00000022100
냉동,냉동 농산물,식물성,"겨자무(뿌리,냉동)",A06004ZZX00000022300
냉동,냉동 농산물,식물성,"백합(비늘줄기,냉동)",A06004ZZZ00000022100
냉동,냉동 농산물,식물성,"호박(열매,냉동)",A0600500200000024700
냉동,냉동 농산물,식물성,"수박(껍질,냉동)",A0600500400000020600
냉동,냉동 농산물,식물성,"수박(열매,냉동)",A0600500400000024700
냉동,냉동 농산물,식물성,"멜론(껍질,냉동)",A0600500500000020600
냉동,냉동 농산물,식물성,"여주(열매,냉동)",A0600500800000024700
냉동,냉동 농산물,식물성,"Ridged gourd(열매,냉동)",A06005ZZX00000024700
냉동,냉동 농산물,식물성,"샤요트(열매,냉동)",A06005ZZZ00000024700
냉동,냉동 농산물,식물성,"토마토(열매,냉동)",A0600600100000024700
냉동,냉동 농산물,식물성,"고추(열매,냉동)",A0600600300000024700
냉동,냉동 농산물,식물성,"피망(열매,냉동)",A0600600400000024700
냉동,냉동 농산물,식물성,"오크라(열매,냉동)",A0600600700000024700
냉동,냉동 농산물,식물성,"박(열매,냉동)",A0600600800000024700
냉동,냉동 농산물,식물성,대두풋콩(냉동),A0600601000001020000
냉동,냉동 농산물,식물성,동부풋콩(냉동),A0600601000002020000
냉동,냉동 농산물,식물성,그린콩풋콩(냉동),A0600601000003020000
냉동,냉동 농산물,식물성,"골든베리(열매,냉동)",A06006ZZZ00000024700
냉동,냉동 농산물,식물성,"느타리버섯(자실체,냉동)",A0700100000000025200
냉동,냉동 농산물,식물성,"송이버섯(자실체,냉동)",A0700200000000025200
냉동,냉동 농산물,식물성,"표고버섯(자실체,냉동)",A0700300000000025200
냉동,냉동 농산물,식물성,"양송이(자실체,냉동)",A0700400000000025200
냉동,냉동 농산물,식물성,"싸리버섯(자실체,냉동)",A0700500000000025200
냉동,냉동 농산물,식물성,"목이버섯(자실체,냉동)",A0700700000000025200
냉동,냉동 농산물,식물성,"새송이버섯(자실체,냉동)",A0700900000000025200
냉동,냉동 농산물,식물성,"황금뿔나팔버섯(자실체,냉동)",A0701300000000025200
냉동,냉동 농산물,식물성,"능이버섯(자실체,냉동)",A0701800000000025200
냉동,냉동 농산물,식물성,"꾀꼬리버섯(자실체,냉동)",A0702200000000025200
냉동,냉동 농산물,식물성,"만가닥버섯(자실체,냉동)",A0702300000000025200
냉동,냉동 농산물,식물성,"그물버섯(자실체,냉동)",A0702800000000025200
냉동,냉동 농산물,식물성,"다색벚꽃버섯(자실체,냉동)",A0703000000000025200
냉동,냉동 농산물,식물성,"달걀버섯(자실체,냉동)",A0703100000000025200
냉동,냉동 농산물,식물성,"먹물버섯(자실체,냉동)",A0703400000000025200
