importer,total_count,product_category_summary_sorted,product_category_actual_sorted
농심태경(주),1677,"돼지고기 ,소고기 ,과채가공품,고등어 ,오징어 ,명태 ,소스,새우 ,정제/가공을거쳐야하는식품원료,올리브유,닭고기 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),과.채가공품,소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),고등어(냉동),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),오징어(냉동,동체),소고기(냉동,기타,소부산물),오징어(냉동,지느러미),돼지고기(기타,돼지고기부산물),명태(냉동),소스,오징어(냉동),북쪽분홍새우(냉동),소고기(냉장,정육(뼈없는것),소고기정육/지육),정제,가공을거쳐야하는식품원료,오징어(냉동,다리),올리브유,닭고기(냉동,다리,닭고기정육/지육),소고기(냉장,횡격막,소부산물),고등어(냉동,필렛(F)),오징어(냉동,동체,자숙)"
(주)아영에프비씨,1665,"과실주,위스키,맥주","과실주,위스키,맥주"
(주)남상푸드,1663,"소고기 ,돼지고기 ,닭고기 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),닭고기(냉동,다리,닭고기정육/지육),소고기(냉동,꼬리,소부산물),소고기(냉동,위,소부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,머리,소부산물),돼지고기(기타,돼지고기부산물),소고기(냉장,정육(뼈없는것),소고기정육/지육),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,건,소부산물),돼지고기(냉동,횡격막,돼지고기부산물),닭고기(냉동,발,닭고기부산물),소고기(냉장,횡격막,소부산물),소고기(냉동,장,소부산물),소고기(냉동,기타,소부산물),소고기(냉동,횡격막,소부산물),닭고기(냉동,날개,닭고기정육/지육)"
주식회사 성우무역,1653,"돼지고기 ,소고기 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),돼지고기(기타,돼지고기부산물),소고기(냉동,정육(뼈없는것),소고기정육/지육),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,꼬리,소부산물),돼지고기(냉동,장,돼지고기부산물),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,횡격막,돼지고기부산물),돼지고기(냉동,위,돼지고기부산물)"
(주)화승네트웍스 서울사무소,1646,"닭고기 ,돼지고기 ,소고기 ","닭고기(냉동,다리,닭고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,발,돼지고기부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),닭고기(냉동,발,닭고기부산물),소고기(냉동,머리,소부산물),소고기(냉동,꼬리,소부산물),돼지고기(냉동,장,돼지고기부산물),돼지고기(냉동,횡격막,돼지고기부산물),돼지고기(기타,돼지고기부산물),돼지고기(냉동,지방,돼지고기부산물),소고기(냉동,건,소부산물),닭고기(냉동,날개,닭고기정육/지육),소고기(냉동,위,소부산물),소고기(냉동,횡격막,소부산물),돼지고기(냉동,기타,돼지고기부산물),소고기(냉동,기타,소부산물),돼지고기(냉동,머리,돼지고기부산물),소고기(냉동,심장,소부산물),닭고기(냉동,가슴,닭고기정육/지육)"
(주)제원인터내쇼날,1554,"초콜릿 ,빵류,과채가공품,당류가공품,견과 ,잼 ,버터 ,과자,식물성크림/ 유크림 ,치즈 ,밀가루 ","빵류,과.채가공품,초콜릿,화이트초콜릿,밀크초콜릿,당류가공품,준초콜릿,땅콩 또는 견과류가공품,잼,과자,가공버터,초콜릿가공품,버터,식물성크림,가공유크림,자연치즈,코코아버터,영양강화 밀가루"
주식회사 레뱅,1537,"과실주,위스키","과실주,위스키"
(주) 렉스팜,1458,"소고기 ,돼지고기 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),소고기(냉동,머리,소부산물),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉동,횡격막,소부산물),소고기(냉동,건,소부산물),소고기(냉장,횡격막,소부산물),소고기(냉동,위,소부산물),돼지고기(기타,돼지고기부산물),소고기(냉동,기타,소부산물),소고기(냉동,입술,소부산물),소고기(냉동,꼬리,소부산물),소고기(냉동,장,소부산물),소고기(냉동,식용가죽,소부산물),소고기(냉동,기계적분리육,소고기정육/지육)"
(유)돌코리아,1403,"바나나 ,과채가공품,아보카도 ","바나나(열매,신선),과.채가공품,아보카도(열매,신선)"
(주)태원트레이드,1369,"돼지고기 ,소고기 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),돼지고기(기타,돼지고기부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,위,소부산물),돼지고기(냉동,장,돼지고기부산물),소고기(냉동,정육(뼈없는것),소고기정육/지육)"
