가공식품,이멕스무역(주),포테이토 크리스프 씨푸드맛,POTATO CRISP SEAFOOD FLAVOUR,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-08-18,말레이시아,말레이시아
가공식품,티디에프코리아(주),아미카 알프레도 트러플 감자칩,AMICA ALFREDO&#39;S TRUFFLE POTATO CHIPS,과자,AMICA CHIPS S.P.A,2023-08-31,2023-06-29 ~ 2024-03-29,이탈리아,이탈리아
가공식품,(주)댓와인,"도멘 삐에르 지라르댕, 부르고뉴 샤르도네 에클레 드 칼케르",BOURGOGNE CHARDONNAY ECLAT DE CALCAIRE,과실주,PIERRE VINCENT GIRARDIN,2023-08-31,2021-11-19 ~ ,프랑스,프랑스
가공식품,엠에이치샴페인즈앤드와인즈코리아(주),"아르망드 브리냑 브뤼 골드 / 1096013, 750ML, L158A23",ARMAND DE BRIGNAC BRUT GOLD,과실주,CATTIER,2023-08-31,-,프랑스,프랑스
가공식품,(주)댓와인,"도멘 삐에르 지라르댕, 뫼르소 에클레 드 칼케르","DOMAINE PIERRE GIRARDIN, MEURSAULT ECLAT DE CALCAIRE",과실주,PIERRE VINCENT GIRARDIN,2023-08-31,2022-11-08 ~ ,프랑스,프랑스
가공식품,이멕스무역(주),티라미수 쿠키,TIRAMISU COOKIES,과자,TATAWA INDUSTRIES (M) SDN BHD,2023-08-31, ~ 2024-11-13,말레이시아,말레이시아
가공식품,(주)댓와인,"도멘 삐에르 지라르댕, 뫼르소 에클레 드 칼케르","DOMAINE PIERRE GIRARDIN, MEURSAULT ECLAT DE CALCAIRE",과실주,PIERRE VINCENT GIRARDIN,2023-08-31,2023-03-10 ~ ,프랑스,프랑스
가공식품,비네센코리아 주식회사,메르퀴레 프리미어 크뤼,MERCUREY 1ER CRU LES CROICHOTS,과실주,EARL TREMEAUX PERE ET FILS,2023-08-31,-,프랑스,프랑스
가공식품,엠에이치샴페인즈앤드와인즈코리아(주),"크루그 빈티지 /1069737,LAAXY, 750ml, 12%",KRUG,과실주,CHAMPAGNE KRUG,2023-08-31,-,프랑스,프랑스
가공식품,엠에이치샴페인즈앤드와인즈코리아(주),"뵈브 클리코 /1029142, 1500ML,LAB3E",VEUVE CLICQUOT,과실주,VEUVE CLICQUOT PONSARDIN,2023-08-31,-,프랑스,프랑스
가공식품,이멕스무역(주),블루베리필드쿠키,BLUEBERRY JAM FILLED COOKIES,과자,TATAWA INDUSTRIES (M) SDN BHD,2023-08-31, ~ 2024-11-13,말레이시아,말레이시아
가공식품,이멕스무역(주),사과필드쿠키,APPLE JAM FILLED COOKIES,과자,TATAWA INDUSTRIES (M) SDN BHD,2023-08-31, ~ 2024-11-13,말레이시아,말레이시아
가공식품,주식회사 유앤아이트레이드,코코넛라떼쿠키,COCONUT LATTE COOKIES,과자,"GUANGDONG SHANGYI FOOD CO.,LTD",2023-08-31, ~ 2025-02-25,중국,중국
가공식품,나라셀라 주식회사,카스텔로 디 퀘르체토 끼안티 클라시코,CHIANTI CLASSICO,과실주,CASTELLO DI QUERCETO,2023-08-31,2023-06-06 ~ ,이탈리아,이탈리아
가공식품,(주)비티스,쥬브레 샹베르땅 엉 샴 (750ML),GEVREY CHAMBERTIN EN CHAMPS,과실주,L&#39;AS,2023-08-31,2021-03-17 ~ ,프랑스,프랑스
가공식품,(주)비티스,뫼르소 그랑 샤롱,MEURSAULT GRANDS CHARRONS,과실주,L&#39;AS,2023-08-31,2021-02-02 ~ ,프랑스,프랑스
가공식품,이멕스무역(주),해피무 버터향,HAPPY MOO BUTTER FLAVOURED BISCUITS,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-11-17,말레이시아,말레이시아
가공식품,(주)오성물산코리아,구운 달콤한 쌀과자(848g),BAKED SWEET RICE CRACKER,과자,"QUANZHOU RUIMAI FOODS CO.,LTD.",2023-08-31,2023-08-11 ~ 2024-08-10,중국,중국
가공식품,(주)오성물산코리아,구운 고소한 쌀과자(558G),BAKED SAVORY RICE CRACKER,과자,"QUANZHOU RUIMAI FOODS CO.,LTD.",2023-08-31,2023-08-07 ~ 2024-08-06,중국,중국
가공식품,(주)비티스,본 로마네 레 바호 (750ML),VOSNE-ROMANEE LES BARREAUX,과실주,L&#39;AS,2023-08-31,2021-02-02 ~ ,프랑스,프랑스
가공식품,쿠팡 주식회사,나초칩 라운드,DELI STYLE TORTILLA ROUNDS,과자,GRUMA OCEANIA PTY LTD T/A MISSION FOODS,2023-08-31,2023-07-13 ~ 2024-04-08,호주,호주
가공식품,쿠팡 주식회사,나초칩 트라이 앵글,DELI STYLE TORTILLA TRIANGLES,과자,GRUMA OCEANIA PTY LTD T/A MISSION FOODS,2023-08-31,2023-07-15 ~ 2024-04-10,호주,호주
가공식품,성우트레이딩,에스더블유 코코아 쿠키 크럼(코코아 분말 6.55%),SW-COCOA COOKIE CRUMB,과자,"VIETNAM LIBRA CO., LTD.",2023-08-31,2023-08-16 ~ 2024-08-15,베트남,베트남
가공식품,(주)영남코프레이션,르 몽드 체다치즈 샌드위치 (72g),LE-MOND CHEDDAR CHEESE PUFF SANDWICH,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)영남코프레이션,르 몽드 레몬 샌드위치 (68g),LE-MOND LEMON PUFF SANDWICH,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)영남코프레이션,어소티드 비스킷,BISCUIT ASSORTIES,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)영남코프레이션,오트 25 딸기,OAT 25 STRAWBERRY,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)영남코프레이션,오트 25 텐 그레인,OAT 25 TEN GRAINS,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)영남코프레이션,치즈 샌드위치 (112g),CHEESE SANDWICH,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)영남코프레이션,치즈 크래커,CHEESE CRACKERS,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)영남코프레이션,피넛버터 샌드위치 (120g),PEANUT BUTTER SANDWICH,과자,JULIE&#39;S MANUFACTURING SDN.BHD.,2023-08-31, ~ 2024-11-10,말레이시아,말레이시아
가공식품,(주)천하코퍼레이션,구카 누가 필링 크래커,GOOKA NOUGAT FILLING SPRIGN ONION CREAM CRACKERS,과자,WEST BIBICA ONE MEMBER COMPANY LIMITED,2023-08-31,2023-07-29 ~ 2024-07-29,베트남,베트남
가공식품,주식회사 위스트,슈게라떼 페스튜리,ZUCCHERATE (SUGAR TOPPED PUFF) PASTRY,과자,BONOMI S.P.A.,2023-08-31,2023-05-18 ~ 2024-07-31,이탈리아,이탈리아
