importer,total_count,product_category_summary_sorted,product_category_actual_sorted
주식회사 피피와이씨바이오,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ,식품용 폴리프로필렌 제품 ",폴리에틸렌
홈월드,3,식품용 금속제품 ,금속제
주식회사즐겨찾기,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리에틸렌 제품 ","폴리에틸렌,도자기제"
주식회사 그로텍이엔씨,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
주식회사 시그널,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
유인터내셔널,3,식품용 금속제품 ,금속제
진짜순대,3,식품용 금속제품 ,금속제
삼소방,3,"식품용 금속제품 ,식품용 도자기제품 ","폴리카보네이트,금속제,도자기제"
주식회사 147리테일,3,식품용 금속제품 ,금속제
제이에스 어라운드(JS around),3,식품용 금속제품 ,금속제
스카이로켓,3,"식품용 금속제품 ,식품용 불소수지 제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
엘에프케이(LFK),3,식품용 금속제품 ,금속제
플래티넘크래프트맥주(주),3,식품용 금속제품 ,금속제
(주)천개의우물,3,식품용 금속제품 ,금속제
만능연구소,3,식품용 금속제품 ,금속제
와이비툴스(YB Tools),3,식품용 금속제품 ,금속제
현대불고기냉면,3,"식품용 금속제품 ,식품용 불소수지 제품 ","금속제,불소수지"
비오시모스,3,식품용 금속제품 ,금속제
(주)유로,3,식품용 금속제품 ,"폴리시클로헥산-1,4-디메틸렌테레프탈레이트"
영구 공업사,3,식품용 금속제품 ,금속제
(주)제이와이인터내셔널,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","금속제,폴리프로필렌"
주식회사 어플러즈,3,식품용 금속제품 ,아크릴로니트릴-스티렌 공중합체
주식회사 니코인터내셔날,3,식품용 금속제품 ,금속제
하우스플러스(주),3,식품용 금속제품 ,금속제
썸머브릿지,3,식품용 금속제품 ,금속제
더감,3,식품용 금속제품 ,금속제
피플빈,3,"식품용 금속제품 ,식품용 불소수지 제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
(주)에스엘컴퍼니,3,식품용 금속제품 ,금속제
씨앤케이커머스,3,식품용 금속제품 ,"고무제,아크릴로니트릴-스티렌 공중합체"
(주)서현피엠에스,3,식품용 금속제품 ,"고무제,금속제"
